emerge saleintended2 ebitbeforedummy equitybefore manufacturing prime1yearbeffile lnhqtohqctcity prepack3 diploanres commcred24 lnassetscurrdollar lnjudgeexp
1 0 1 -0.35292746 1 5.25 0.00000000 1 1 1 5.70408243 2.07944154
1 0 0 -0.01944841 1 5.00 3.43398720 0 1 1 5.79784946 2.19722458
1 0 0 -0.11757845 1 8.50 0.00000000 1 1 1 7.91706265 1.60943791
1 0 1 0.16601563 1 6.00 2.39789527 1 1 1 8.54090972 1.94591015
0 0 0 0.01822323 1 5.25 3.43398720 1 1 1 6.08449941 4.31748811
1 0 1 -1.30805629 1 4.75 2.39789527 1 1 1 6.34670596 1.38629436
1 0 1 -0.14401254 1 4.25 0.00000000 0 1 0 5.89580681 3.43398720
1 0 1 0.03051670 1 8.00 1.09861229 1 1 1 6.55193711 0.00000000
0 0 0 0.07534247 1 8.75 0.00000000 1 NA 1 5.67675380 1.09861229
1 0 1 -0.63380282 1 6.00 4.14313473 1 1 1 5.64897424 1.38629436
1 0 1 0.44727520 1 6.75 0.00000000 1 1 1 5.90536185 0.00000000
1 0 1 -0.29582155 1 4.75 0.00000000 2 1 NA 5.63225067 1.60943791
1 0 0 0.31886581 0 7.00 2.89037176 2 1 NA 7.17306904 2.39789527
1 0 1 -0.04722798 1 4.00 3.36729583 1 1 1 7.84806327 2.19722458
0 1 1 0.23886640 1 4.25 3.33220451 1 1 1 5.50938834 0.69314718
1 0 0 0.14532020 1 4.00 0.00000000 1 NA 1 6.00635316 2.30258509
1 0 1 -0.18260870 1 4.00 0.00000000 0 1 1 5.43807931 0.69314718
0 0 1 -0.18373913 1 5.00 3.97029191 1 NA 1 5.43807931 0.69314718
0 1 1 0.09476662 1 8.50 3.73766962 1 1 1 6.74335222 0.69314718
0 0 0 0.16604965 1 8.25 0.00000000 1 1 1 5.54755742 0.69314718
1 0 1 0.10663317 1 7.75 0.00000000 1 1 1 5.98645201 0.00000000
1 0 0 0.25497801 1 8.50 1.60943791 1 1 1 7.93281431 3.25809654
1 0 0 -0.60978908 1 6.00 2.30258509 0 NA NA 5.21981514 0.00000000
0 1 0 -0.14634236 0 8.50 3.73766962 0 1 1 5.60642687 3.17805383
1 0 1 -0.57379651 1 7.75 2.48490665 1 1 1 5.42424492 2.07944154
1 0 0 -0.01638893 1 9.00 4.18965474 0 1 1 6.58768775 0.00000000
1 0 1 -1.84995282 1 9.50 0.00000000 1 1 1 5.76173687 1.09861229
1 0 0 0.00797166 1 8.50 3.09104245 2 1 0 6.92372705 3.33220451
1 0 1 0.03663004 1 8.25 0.00000000 1 1 1 5.60947180 2.99573227
0 1 0 0.19730942 1 5.25 3.29583687 1 NA 1 6.10031895 2.07944154
1 1 1 -0.08126036 1 6.00 3.09104245 0 1 1 6.40191720 1.38629436
1 1 0 -0.13680154 1 5.25 2.48490665 1 NA NA 6.02876033 0.00000000
1 0 0 -0.42209444 1 6.00 2.56494936 0 1 1 6.11401398 3.52636052
1 0 0 -0.19663913 1 6.00 2.56494936 2 NA NA 7.03789718 0.00000000
0 1 0 0.22705314 1 4.75 1.38629436 1 NA 1 6.02586597 0.00000000
1 1 1 0.10869565 1 7.75 3.21887582 1 1 1 5.43807931 1.38629436
1 0 0 -1.04000000 1 8.50 2.94443898 2 1 NA 5.85793315 2.30258509
1 0 0 -0.07909982 1 4.75 0.00000000 1 NA 1 7.89833682 1.60943791
0 1 1 0.61359223 1 8.25 2.48490665 1 1 1 6.24416690 1.38629436
0 0 1 0.20584379 1 9.50 3.52636052 1 1 1 6.97335574 0.00000000
1 0 0 -0.31376518 1 6.00 0.00000000 2 1 NA 6.89568270 1.94591015
0 0 0 0.02059497 0 8.75 0.69314718 0 1 1 6.07993320 3.33220451
1 0 0 -0.16744149 0 7.25 0.00000000 2 NA NA 7.82212417 0.00000000
0 0 1 0.14668149 0 7.75 2.39789527 1 NA 1 5.86010223 3.58351894
0 1 0 -0.08006083 0 8.50 0.00000000 1 1 1 7.66715826 3.78418963
1 0 0 0.16117758 0 9.50 0.00000000 1 1 0 6.61190662 3.89182030
0 0 1 0.24242912 0 7.00 4.46590812 1 1 1 9.97578403 2.07944154
1 0 1 -0.74218412 0 5.25 0.00000000 0 NA 1 9.53834832 1.60943791
1 0 0 -0.74050633 1 4.75 2.19722458 0 NA NA 5.39906727 1.38629436
